,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
291,Ein,Aus,1.500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,997588.3894474092,375754.650404422,3836865.673597884,1248.083606557377,348.68770998209504,0.0,1.0000823208133616,1319391.8156458766,238200.52968886355
292,Aus,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1721935.608751562,0.0,3921856.008759879,1248.083606557377,419.1365989950744,0.0,3.0447959747003264,33787.194099637694,52697.777851199746
293,Aus,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1669237.8309003622,0.0,4097215.551794836,1248.083606557377,383.2693300024279,0.0,,33787.194099637694,0.0
294,Aus,Aus,25 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1669237.8309003622,0.0,4097215.551794836,1248.083606557377,383.2693300024279,0.0,,33787.194099637694,0.0
295,Aus,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1359273.8914075014,20702.359757817336,3861468.3718410195,1248.083606557377,398.82174605216125,0.0,2.9996793623520004,436364.06898217555,71910.57563185974
296,Aus,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1306692.869565116,14178.68306338442,4045285.838592575,1248.083606557377,370.8074556184423,0.0,1.8379013643824904,436364.06898217555,25853.2304839076
297,Aus,Aus,500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1306692.869565116,4475.084281520799,4058355.629100004,1248.083606557377,370.8074556184423,0.0,1.0,436364.06898217555,35556.829265771215
298,Aus,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1187526.6594672368,207665.86503738273,3723665.2461971934,1248.083606557377,392.9928307684783,0.0,2.9522217369585673,838940.9438647135,115776.71329456769
299,Aus,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1136658.7846739364,184645.66276373848,3920172.182886066,1248.083606557377,360.4595518844883,0.0,1.842334240472537,838940.9438647135,87929.04077491132
300,Aus,Aus,1.000 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,75,zukunft Normal,1136658.7846739364,126626.32769857999,3937705.3124720952,1248.083606557377,360.4595518844883,0.0,1.0000239340809234,838940.9438647135,145948.3758400698
301,Aus,Aus,1.500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,55,zukunft Normal,1102572.8211083123,496811.37405568315,3634015.2756993817,1248.083606557377,387.1639154847954,0.0,2.938064422073418,1241517.8187472513,144254.24079988044
302,Aus,Aus,1.500 kWp,Sole/Wasser 200,Zwei-Stoff-Brenner,0%,65,zukunft Normal,1053415.1161701395,463490.36047850235,3838118.0818827343,1248.083606557377,356.1277099820951,0.0,1.8461198333518445,1241517.8187472513,128417.54943888853
